id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Propensity
57990,Male,34,1,6.0,0,1-2 Year,Yes,27671.0,155.0,34,0.6559195
103374,Male,32,1,25.0,0,1-2 Year,Yes,192034.0,124.0,206,0.62220025
167991,Male,29,1,3.0,0,< 1 Year,Yes,29327.0,163.0,21,0.6069821
73791,Male,33,1,3.0,0,1-2 Year,Yes,32175.0,155.0,193,0.5764949
158522,Male,49,1,8.0,0,1-2 Year,Yes,35026.0,81.0,291,0.5581795
134823,Male,35,1,23.0,0,1-2 Year,Yes,28768.0,163.0,21,0.55447745
148643,Male,31,1,41.0,0,1-2 Year,Yes,27072.0,163.0,295,0.5529218
365780,Female,31,1,41.0,0,1-2 Year,Yes,21592.0,163.0,190,0.54774314
349576,Male,39,1,50.0,0,1-2 Year,Yes,54953.0,124.0,204,0.543205
73052,Male,33,1,11.0,0,< 1 Year,Yes,21542.0,124.0,190,0.542691
145368,Female,31,1,29.0,0,1-2 Year,Yes,28297.0,155.0,51,0.5331199
359099,Male,30,1,28.0,0,1-2 Year,Yes,28138.0,163.0,292,0.5321268
300114,Male,29,1,3.0,0,1-2 Year,Yes,24754.0,124.0,297,0.5317606
110340,Female,29,1,29.0,0,< 1 Year,Yes,29749.0,124.0,296,0.5303046
206807,Male,31,1,14.0,0,1-2 Year,Yes,22586.0,163.0,198,0.53021675
344373,Female,32,1,29.0,0,1-2 Year,Yes,22600.0,124.0,236,0.5299415
158310,Female,37,1,4.0,0,1-2 Year,Yes,25149.0,155.0,14,0.52885437
145490,Male,35,1,29.0,0,1-2 Year,Yes,22201.0,157.0,246,0.5283636
216400,Female,32,1,3.0,0,1-2 Year,Yes,22598.0,155.0,18,0.5280283
182906,Male,34,1,6.0,0,1-2 Year,Yes,28559.0,154.0,131,0.52695334
213750,Male,32,1,3.0,0,< 1 Year,Yes,18883.0,124.0,86,0.52557886
218642,Female,33,1,3.0,0,< 1 Year,Yes,24105.0,155.0,44,0.5250255
94126,Female,32,1,25.0,0,< 1 Year,Yes,28378.0,124.0,95,0.5248748
261328,Female,31,1,28.0,0,1-2 Year,Yes,37661.0,155.0,193,0.51987755
198868,Male,32,1,14.0,0,< 1 Year,Yes,35803.0,155.0,222,0.51974446
367676,Male,29,1,35.0,0,1-2 Year,Yes,20070.0,156.0,211,0.5193888
378493,Male,29,1,30.0,0,1-2 Year,No,24287.0,163.0,62,0.5192484
183646,Male,32,1,35.0,0,1-2 Year,Yes,23323.0,163.0,29,0.5171276
128171,Male,31,1,3.0,0,1-2 Year,Yes,29951.0,154.0,208,0.5138913
359911,Male,31,1,35.0,0,1-2 Year,Yes,26076.0,154.0,202,0.5138913
188186,Male,33,1,28.0,0,< 1 Year,Yes,52608.0,121.0,161,0.5133482
190796,Female,29,1,23.0,0,1-2 Year,Yes,22496.0,163.0,199,0.51318073
199270,Male,32,1,50.0,0,1-2 Year,Yes,30647.0,3.0,169,0.5130041
51771,Male,33,1,29.0,0,1-2 Year,Yes,19840.0,26.0,247,0.5124594
309036,Male,33,1,3.0,0,1-2 Year,Yes,24736.0,124.0,128,0.5122124
351223,Male,31,1,11.0,0,< 1 Year,Yes,2630.0,163.0,217,0.51212823
307858,Male,34,1,11.0,0,1-2 Year,Yes,22961.0,124.0,187,0.51209354
238222,Male,31,1,41.0,0,1-2 Year,Yes,27750.0,157.0,220,0.5090832
322158,Female,31,1,28.0,0,< 1 Year,Yes,23000.0,163.0,198,0.50907433
59889,Female,34,1,28.0,0,1-2 Year,Yes,38251.0,155.0,157,0.50889635
206891,Male,34,1,2.0,0,1-2 Year,Yes,22988.0,163.0,50,0.5073503
356046,Male,35,1,18.0,0,1-2 Year,Yes,22809.0,155.0,172,0.5064438
319851,Female,29,1,28.0,0,< 1 Year,Yes,25772.0,124.0,294,0.5064286
292490,Female,30,1,29.0,0,< 1 Year,Yes,27600.0,26.0,24,0.5062633
339607,Male,57,1,15.0,0,1-2 Year,Yes,100255.0,26.0,106,0.5054574
351671,Male,30,1,3.0,0,< 1 Year,Yes,25188.0,157.0,240,0.5052372
120911,Female,34,1,18.0,0,1-2 Year,Yes,19884.0,154.0,202,0.5052279
269363,Female,30,1,35.0,0,< 1 Year,Yes,22075.0,26.0,27,0.5051507
279918,Female,32,1,11.0,0,1-2 Year,Yes,32412.0,26.0,207,0.5048865
