,Unnamed: 0.1,Unnamed: 0,gender,age,driving_license,region_code,previously_insured,vehicle_age,vehicle_damage,annual_premium,policy_sales_channel,vintage,Propensity_to_buy,Status
0,0,28,Male,73,1,28.0,0,1-2 Year,Yes,65368.0,122.0,28,26.32,Aceita com desconto
1,1,20,Male,72,1,41.0,0,> 2 Years,Yes,25078.0,26.0,30,23.97,🫀 Aceita
2,2,59,Female,38,1,28.0,0,> 2 Years,Yes,46640.0,122.0,239,20.03,Pendente
3,3,4,Male,37,1,14.0,0,1-2 Year,Yes,50924.0,124.0,207,19.48,Pendente
4,4,1,Male,25,1,28.0,0,< 1 Year,Yes,42773.0,152.0,244,18.42,Rejeitada
5,5,64,Female,63,1,28.0,0,> 2 Years,Yes,62654.0,157.0,27,16.96,Pendente
6,6,5,Female,31,1,46.0,0,1-2 Year,Yes,30582.0,26.0,89,16.88,Pendente
7,7,31,Female,33,1,30.0,0,< 1 Year,Yes,30775.0,124.0,100,16.88,Pendente
8,8,32,Male,39,1,28.0,0,1-2 Year,Yes,43632.0,44.0,106,16.09,Pendente
9,9,45,Male,34,1,41.0,0,1-2 Year,Yes,35962.0,154.0,244,16.08,Pendente
10,10,62,Female,29,1,23.0,0,1-2 Year,Yes,29089.0,156.0,91,15.78,Pendente
11,11,55,Male,32,1,28.0,0,1-2 Year,Yes,31223.0,124.0,182,15.47,Pendente
12,12,60,Female,29,1,30.0,0,1-2 Year,Yes,21969.0,154.0,38,15.4,Pendente
13,13,43,Male,40,1,28.0,0,1-2 Year,Yes,54798.0,124.0,176,15.3,Pendente
14,14,48,Male,40,1,8.0,0,> 2 Years,Yes,42523.0,124.0,21,14.81,Pendente
15,15,53,Male,36,1,35.0,0,1-2 Year,Yes,32207.0,163.0,222,14.5,Pendente
16,16,56,Male,25,1,28.0,0,< 1 Year,Yes,53109.0,152.0,80,13.98,Pendente
17,17,17,Male,39,1,30.0,0,1-2 Year,Yes,29298.0,26.0,87,13.84,Pendente
18,18,19,Female,31,1,8.0,0,1-2 Year,Yes,2630.0,156.0,215,13.53,Pendente
19,19,12,Male,43,1,3.0,0,1-2 Year,Yes,31083.0,26.0,28,13.15,Pendente
20,20,29,Female,56,1,28.0,0,1-2 Year,Yes,59991.0,125.0,19,12.93,Pendente
21,21,26,Male,33,1,10.0,0,1-2 Year,Yes,2630.0,156.0,224,12.92,Pendente
22,22,57,Male,21,1,36.0,0,< 1 Year,Yes,26963.0,160.0,288,12.31,Pendente
