,gender,age,driving_license,region_code,previously_insured,vehicle_age,vehicle_damage,annual_premium,policy_sales_channel,vintage,Propensity_to_buy,Status
11,Female,42,1,28.0,0,1-2 Year,Yes,38793.0,26.0,236,54.48,🫀 Aceita
8,Female,46,1,8.0,0,1-2 Year,Yes,23210.0,26.0,163,53.03,Pendente
60,Female,29,1,30.0,0,1-2 Year,Yes,21969.0,154.0,38,52.57,🫀 Aceita
25,Female,46,1,28.0,0,1-2 Year,Yes,49022.0,26.0,144,51.7,Pendente
40,Male,50,1,28.0,0,1-2 Year,Yes,38675.0,26.0,226,51.46,Pendente
4,Male,37,1,14.0,0,1-2 Year,Yes,50924.0,124.0,207,51.22,🫀 Aceita
37,Male,50,1,28.0,0,1-2 Year,Yes,37749.0,124.0,255,51.14,Pendente
18,Female,50,1,46.0,0,1-2 Year,Yes,26275.0,26.0,161,51.09,Pendente
7,Female,42,1,28.0,0,1-2 Year,Yes,47420.0,26.0,104,50.98,Pendente
59,Female,38,1,28.0,0,> 2 Years,Yes,46640.0,122.0,239,50.68,Pendente
15,Female,50,1,46.0,0,1-2 Year,Yes,23202.0,124.0,289,50.48,Pendente
27,Male,47,1,28.0,0,1-2 Year,Yes,34303.0,26.0,104,49.91,Pendente
49,Male,46,1,28.0,0,1-2 Year,Yes,49841.0,26.0,57,49.67,Pendente
30,Male,46,1,28.0,0,1-2 Year,Yes,28718.0,26.0,154,49.53,Pendente
21,Female,54,1,46.0,0,1-2 Year,Yes,28738.0,156.0,208,49.07,🫀 Aceita
44,Female,59,1,28.0,0,1-2 Year,Yes,33524.0,150.0,227,49.07,Pendente
62,Female,29,1,23.0,0,1-2 Year,Yes,29089.0,156.0,91,48.29,Pendente
52,Male,32,1,15.0,0,< 1 Year,Yes,38753.0,152.0,257,48.19,Pendente
5,Female,31,1,46.0,0,1-2 Year,Yes,30582.0,26.0,89,47.77,Pendente
31,Female,33,1,30.0,0,< 1 Year,Yes,30775.0,124.0,100,47.77,Pendente
12,Male,43,1,3.0,0,1-2 Year,Yes,31083.0,26.0,28,47.11,Pendente
41,Male,51,1,46.0,0,> 2 Years,Yes,29492.0,124.0,209,47.03,Pendente
43,Male,40,1,28.0,0,1-2 Year,Yes,54798.0,124.0,176,46.74,Pendente
19,Female,31,1,8.0,0,1-2 Year,Yes,2630.0,156.0,215,46.04,Pendente
54,Male,34,1,3.0,0,> 2 Years,Yes,19826.0,124.0,165,45.95,Pendente
63,Male,51,1,11.0,0,1-2 Year,Yes,23449.0,26.0,128,45.77,Pendente
9,Female,48,1,28.0,0,1-2 Year,Yes,43292.0,124.0,56,45.63,Pendente
47,Female,52,1,37.0,0,1-2 Year,Yes,33260.0,150.0,218,45.62,Pendente
45,Male,34,1,41.0,0,1-2 Year,Yes,35962.0,154.0,244,45.59,Pendente
61,Female,61,1,28.0,0,1-2 Year,Yes,51145.0,26.0,195,45.28,Pendente
46,Female,62,1,41.0,0,> 2 Years,Yes,57466.0,25.0,275,44.91,Pendente
50,Male,52,1,28.0,0,1-2 Year,Yes,40569.0,124.0,278,44.69,Pendente
0,Male,49,1,41.0,0,> 2 Years,Yes,43751.0,26.0,235,43.61,Pendente
34,Female,41,1,43.0,0,1-2 Year,Yes,2630.0,26.0,150,43.4,Pendente
26,Male,33,1,10.0,0,1-2 Year,Yes,2630.0,156.0,224,43.13,Pendente
48,Male,40,1,8.0,0,> 2 Years,Yes,42523.0,124.0,21,42.92,Pendente
55,Male,32,1,28.0,0,1-2 Year,Yes,31223.0,124.0,182,42.74,Pendente
36,Male,56,1,46.0,0,> 2 Years,Yes,27924.0,124.0,229,42.31,Pendente
23,Male,30,1,28.0,0,1-2 Year,Yes,2630.0,157.0,284,41.88,Pendente
29,Female,56,1,28.0,0,1-2 Year,Yes,59991.0,125.0,19,41.77,Pendente
58,Female,36,1,28.0,0,1-2 Year,Yes,33395.0,154.0,280,41.18,Pendente
53,Male,36,1,35.0,0,1-2 Year,Yes,32207.0,163.0,222,40.53,Pendente
24,Male,62,1,41.0,0,1-2 Year,Yes,31277.0,26.0,297,40.43,Pendente
22,Female,51,1,31.0,0,1-2 Year,Yes,2630.0,26.0,239,40.1,Pendente
2,Male,58,0,29.0,0,> 2 Years,Yes,26064.0,124.0,270,40.02,Pendente
33,Male,27,1,28.0,0,< 1 Year,Yes,35838.0,152.0,156,39.83,Pendente
35,Male,51,1,7.0,0,1-2 Year,Yes,2630.0,26.0,221,39.73,Pendente
3,Male,42,1,20.0,0,1-2 Year,Yes,2630.0,124.0,98,38.9,Pendente
17,Male,39,1,30.0,0,1-2 Year,Yes,29298.0,26.0,87,38.75,Pendente
13,Male,47,1,29.0,0,< 1 Year,Yes,2630.0,124.0,69,38.26,Pendente
51,Female,65,1,28.0,0,> 2 Years,Yes,51192.0,13.0,179,36.26,Pendente
20,Male,72,1,41.0,0,> 2 Years,Yes,25078.0,26.0,30,35.35,Pendente
32,Male,39,1,28.0,0,1-2 Year,Yes,43632.0,44.0,106,35.08,Pendente
64,Female,63,1,28.0,0,> 2 Years,Yes,62654.0,157.0,27,34.93,Pendente
39,Male,66,1,28.0,0,> 2 Years,Yes,34119.0,26.0,212,33.81,Pendente
38,Female,67,1,28.0,0,> 2 Years,Yes,32380.0,158.0,289,33.51,Pendente
6,Male,66,1,28.0,0,> 2 Years,Yes,39743.0,26.0,222,31.66,Pendente
57,Male,21,1,36.0,0,< 1 Year,Yes,26963.0,160.0,288,30.9,Pendente
56,Male,25,1,28.0,0,< 1 Year,Yes,53109.0,152.0,80,29.11,Pendente
1,Male,25,1,28.0,0,< 1 Year,Yes,42773.0,152.0,244,28.84,Pendente
28,Male,73,1,28.0,0,1-2 Year,Yes,65368.0,122.0,28,27.84,Pendente
14,Male,65,1,28.0,0,> 2 Years,Yes,2630.0,156.0,230,27.75,Pendente
10,Female,78,1,28.0,0,1-2 Year,Yes,31471.0,122.0,231,22.07,Pendente
16,Female,23,1,12.0,0,< 1 Year,No,20594.0,152.0,168,19.15,Pendente
42,Male,21,1,47.0,0,< 1 Year,No,37118.0,160.0,178,6.8,Pendente
