,Unnamed: 0,id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
0,18688,18689,Male,49,1,41.0,0,> 2 Years,Yes,43751.0,26.0,235,1
1,259615,259616,Male,25,1,28.0,0,< 1 Year,Yes,42773.0,152.0,244,1
2,364426,364427,Male,58,0,29.0,0,> 2 Years,Yes,26064.0,124.0,270,1
3,258341,258342,Male,42,1,20.0,0,1-2 Year,Yes,2630.0,124.0,98,1
4,310630,310631,Male,37,1,14.0,0,1-2 Year,Yes,50924.0,124.0,207,1
5,36057,36058,Female,31,1,46.0,0,1-2 Year,Yes,30582.0,26.0,89,1
6,152965,152966,Male,66,1,28.0,0,> 2 Years,Yes,39743.0,26.0,222,1
7,78593,78594,Female,42,1,28.0,0,1-2 Year,Yes,47420.0,26.0,104,1
8,271281,271282,Female,46,1,8.0,0,1-2 Year,Yes,23210.0,26.0,163,1
9,258884,258885,Female,48,1,28.0,0,1-2 Year,Yes,43292.0,124.0,56,1
10,3044,3045,Female,78,1,28.0,0,1-2 Year,Yes,31471.0,122.0,231,1
11,142142,142143,Female,42,1,28.0,0,1-2 Year,Yes,38793.0,26.0,236,1
12,257450,257451,Male,43,1,3.0,0,1-2 Year,Yes,31083.0,26.0,28,1
13,280454,280455,Male,47,1,29.0,0,< 1 Year,Yes,2630.0,124.0,69,1
14,210011,210012,Male,65,1,28.0,0,> 2 Years,Yes,2630.0,156.0,230,1
15,51795,51796,Female,50,1,46.0,0,1-2 Year,Yes,23202.0,124.0,289,1
16,248232,248233,Female,23,1,12.0,0,< 1 Year,No,20594.0,152.0,168,1
17,115709,115710,Male,39,1,30.0,0,1-2 Year,Yes,29298.0,26.0,87,1
18,156154,156155,Female,50,1,46.0,0,1-2 Year,Yes,26275.0,26.0,161,1
19,251232,251233,Female,31,1,8.0,0,1-2 Year,Yes,2630.0,156.0,215,1
20,261882,261883,Male,72,1,41.0,0,> 2 Years,Yes,25078.0,26.0,30,1
21,251591,251592,Female,54,1,46.0,0,1-2 Year,Yes,28738.0,156.0,208,1
22,156419,156420,Female,51,1,31.0,0,1-2 Year,Yes,2630.0,26.0,239,1
23,46443,46444,Male,30,1,28.0,0,1-2 Year,Yes,2630.0,157.0,284,1
24,187168,187169,Male,62,1,41.0,0,1-2 Year,Yes,31277.0,26.0,297,1
25,310604,310605,Female,46,1,28.0,0,1-2 Year,Yes,49022.0,26.0,144,1
26,289790,289791,Male,33,1,10.0,0,1-2 Year,Yes,2630.0,156.0,224,1
27,353740,353741,Male,47,1,28.0,0,1-2 Year,Yes,34303.0,26.0,104,1
28,29446,29447,Male,73,1,28.0,0,1-2 Year,Yes,65368.0,122.0,28,1
29,126425,126426,Female,56,1,28.0,0,1-2 Year,Yes,59991.0,125.0,19,1
30,282955,282956,Male,46,1,28.0,0,1-2 Year,Yes,28718.0,26.0,154,1
31,363425,363426,Female,33,1,30.0,0,< 1 Year,Yes,30775.0,124.0,100,1
32,107492,107493,Male,39,1,28.0,0,1-2 Year,Yes,43632.0,44.0,106,1
33,228932,228933,Male,27,1,28.0,0,< 1 Year,Yes,35838.0,152.0,156,1
34,357399,357400,Female,41,1,43.0,0,1-2 Year,Yes,2630.0,26.0,150,1
35,357103,357104,Male,51,1,7.0,0,1-2 Year,Yes,2630.0,26.0,221,1
36,351244,351245,Male,56,1,46.0,0,> 2 Years,Yes,27924.0,124.0,229,1
37,42863,42864,Male,50,1,28.0,0,1-2 Year,Yes,37749.0,124.0,255,1
38,323446,323447,Female,67,1,28.0,0,> 2 Years,Yes,32380.0,158.0,289,1
39,81697,81698,Male,66,1,28.0,0,> 2 Years,Yes,34119.0,26.0,212,1
40,294626,294627,Male,50,1,28.0,0,1-2 Year,Yes,38675.0,26.0,226,1
41,92328,92329,Male,51,1,46.0,0,> 2 Years,Yes,29492.0,124.0,209,1
42,284835,284836,Male,21,1,47.0,0,< 1 Year,No,37118.0,160.0,178,1
43,326462,326463,Male,40,1,28.0,0,1-2 Year,Yes,54798.0,124.0,176,1
44,205148,205149,Female,59,1,28.0,0,1-2 Year,Yes,33524.0,150.0,227,1
45,172949,172950,Male,34,1,41.0,0,1-2 Year,Yes,35962.0,154.0,244,1
46,19161,19162,Female,62,1,41.0,0,> 2 Years,Yes,57466.0,25.0,275,1
47,290628,290629,Female,52,1,37.0,0,1-2 Year,Yes,33260.0,150.0,218,1
48,175414,175415,Male,40,1,8.0,0,> 2 Years,Yes,42523.0,124.0,21,1
49,167268,167269,Male,46,1,28.0,0,1-2 Year,Yes,49841.0,26.0,57,1
50,178980,178981,Male,52,1,28.0,0,1-2 Year,Yes,40569.0,124.0,278,1
51,110265,110266,Female,65,1,28.0,0,> 2 Years,Yes,51192.0,13.0,179,1
52,62482,62483,Male,32,1,15.0,0,< 1 Year,Yes,38753.0,152.0,257,1
53,170763,170764,Male,36,1,35.0,0,1-2 Year,Yes,32207.0,163.0,222,1
54,45340,45341,Male,34,1,3.0,0,> 2 Years,Yes,19826.0,124.0,165,1
55,175143,175144,Male,32,1,28.0,0,1-2 Year,Yes,31223.0,124.0,182,1
56,349068,349069,Male,25,1,28.0,0,< 1 Year,Yes,53109.0,152.0,80,1
57,212146,212147,Male,21,1,36.0,0,< 1 Year,Yes,26963.0,160.0,288,1
58,46760,46761,Female,36,1,28.0,0,1-2 Year,Yes,33395.0,154.0,280,1
59,260050,260051,Female,38,1,28.0,0,> 2 Years,Yes,46640.0,122.0,239,1
60,358307,358308,Female,29,1,30.0,0,1-2 Year,Yes,21969.0,154.0,38,1
61,201158,201159,Female,61,1,28.0,0,1-2 Year,Yes,51145.0,26.0,195,1
62,168892,168893,Female,29,1,23.0,0,1-2 Year,Yes,29089.0,156.0,91,1
63,19726,19727,Male,51,1,11.0,0,1-2 Year,Yes,23449.0,26.0,128,1
64,158719,158720,Female,63,1,28.0,0,> 2 Years,Yes,62654.0,157.0,27,1
